attacks,mitigations
URL Encoding,"['Refer to the RFCs to safely decode URL. ', 'Regular expression can be used to match safe URL patterns. However, that may discard valid URL requests if the regular expression is too restrictive. ', 'There are tools to scan HTTP requests to the server for valid URL such as URLScan from Microsoft (http://www.microsoft.com/technet/security/tools/urlscan.mspx). ', 'Any security checks should occur after the data has been decoded and validated as correct data format. Do not repeat decoding process, if bad character are left after decoding process, treat the data as suspicious, and fail the validation process. ', 'Assume all input is malicious. Create an allowlist that defines all valid input to the software system based on the requirements specifications. Input that does not match against the allowlist should not be permitted to enter into the system. Test your decoding process against malicious input. ', 'Be aware of the threat of alternative method of data encoding and obfuscation technique such as IP address encoding. (See related guideline section) ', 'When client input is required from web-based forms, avoid using the ""GET"" method to submit data, as the method causes the form data to be appended to the URL and is easily manipulated. Instead, use the ""POST method whenever possible. ']"
Using Escaped Slashes in Alternate Encoding,"['Verify that the user-supplied data does not use backslash character to escape malicious characters. ', 'Assume all input is malicious. Create an allowlist that defines all valid input to the software system based on the requirements specifications. Input that does not match against the allowlist should not be permitted to enter into the system. ', 'Be aware of the threat of alternative method of data encoding. ', 'Regular expressions can be used to filter out backslash. Make sure you decode before filtering and validating the untrusted input data. ', 'In the case of path traversals, use the principle of least privilege when determining access rights to file systems. Do not allow users to access directories/files that they should not access. ', 'Any security checks should occur after the data has been decoded and validated as correct data format. Do not repeat decoding process, if bad character are left after decoding process, treat the data as suspicious, and fail the validation process. ', 'Avoid making decisions based on names of resources (e.g. files) if those resources can have alternate names. ']"
Using Slashes in Alternate Encoding,"['Any security checks should occur after the data has been decoded and validated as correct data format. Do not repeat decoding process, if bad character are left after decoding process, treat the data as suspicious, and fail the validation process. Refer to the RFCs to safely decode URL. ', 'When client input is required from web-based forms, avoid using the ""GET"" method to submit data, as the method causes the form data to be appended to the URL and is easily manipulated. Instead, use the ""POST method whenever possible. ', 'There are tools to scan HTTP requests to the server for valid URL such as URLScan from Microsoft (http://www.microsoft.com/technet/security/tools/urlscan.mspx) ', 'Be aware of the threat of alternative method of data encoding and obfuscation technique such as IP address encoding. (See related guideline section) ', 'Test your path decoding process against malicious input. ', 'In the case of path traversals, use the principle of least privilege when determining access rights to file systems. Do not allow users to access directories/files that they should not access. ', 'Assume all input is malicious. Create an allowlist that defines all valid input to the application based on the requirements specifications. Input that does not match against the allowlist should not be permitted to enter into the system. ']"
Using UTF-,"['The Unicode Consortium recognized multiple representations to be a problem and has revised the Unicode Standard to make multiple representations of the same code point with UTF-8 illegal. The UTF-8 Corrigendum lists the newly restricted UTF-8 range (See references). Many current applications may not have been revised to follow this rule. Verify that your application conform to the latest UTF-8 encoding specification. Pay extra attention to the filtering of illegal characters. ', '<p>The exact response required from an UTF-8 decoder on invalid input is not uniformly defined by the standards. In general, there are several ways a UTF-8 decoder might behave in the event of an invalid byte sequence: </p><ul><li>1. Insert a replacement character (e.g. \'?\', \'\'). </li><li>2. Ignore the bytes. </li><li>3. Interpret the bytes according to a different character encoding (often the ISO-8859-1 character map). </li><li>4. Not notice and decode as if the bytes were some similar bit of UTF-8. </li><li>5. Stop decoding and report an error (possibly giving the caller the option to continue). </li></ul><p>It is possible for a decoder to behave in different ways for different types of invalid input. </p><p>RFC 3629 only requires that UTF-8 decoders must not decode ""overlong sequences"" (where a character is encoded in more bytes than needed but still adheres to the forms above). The Unicode Standard requires a Unicode-compliant decoder to ""...treat any ill-formed code unit sequence as an error condition. This guarantees that it will neither interpret nor emit an ill-formed code unit sequence."" </p><p>Overlong forms are one of the most troublesome types of UTF-8 data. The current RFC says they must not be decoded but older specifications for UTF-8 only gave a warning and many simpler decoders will happily decode them. Overlong forms have been used to bypass security validations in high profile products including Microsoft\'s IIS web server. Therefore, great care must be taken to avoid security issues if validation is performed before conversion from UTF-8, and it is generally much simpler to handle overlong forms before any input validation is done. </p><p>To maintain security in the case of invalid input, there are two options. The first is to decode the UTF-8 before doing any input validation checks. The second is to use a decoder that, in the event of invalid input, returns either an error or text that the application considers to be harmless. Another possibility is to avoid conversion out of UTF-8 altogether but this relies on any other software that the data is passed to safely handling the invalid data. </p><p>Another consideration is error recovery. To guarantee correct recovery after corrupt or lost bytes, decoders must be able to recognize the difference between lead and trail bytes, rather than just assuming that bytes will be of the type allowed in their position. </p>', 'For security reasons, a UTF-8 decoder must not accept UTF-8 sequences that are longer than necessary to encode a character. If you use a parser to decode the UTF-8 encoding, make sure that parser filter the invalid UTF-8 characters (invalid forms or overlong forms). ', ""Look for overlong UTF-8 sequences starting with malicious pattern. You can also use a UTF-8 decoder stress test to test your UTF-8 parser (See Markus Kuhn's UTF-8 and Unicode FAQ in reference section) "", 'Assume all input is malicious. Create an allowlist that defines all valid input to the software system based on the requirements specifications. Input that does not match against the allowlist should not be permitted to enter into the system. Test your decoding process against malicious input. ']"
Symlink Attack,"['Design: Check for the existence of files to be created, if in existence verify they are neither symlinks nor hard links before opening them. ', 'Implementation: Use randomly generated file names for temporary files. Give the files restrictive permissions. ']"
Leveraging/Manipulating Configuration File Search Paths,"['Design: Enforce principle of least privilege ', ""Design: Ensure that the program's compound parts, including all system dependencies, classpath, path, and so on, are secured to the same or higher level assurance as the program "", 'Implementation: Host integrity monitoring ']"
Search Order Hijacking,"['Design: Fix the Windows loading process to eliminate the preferential search order by looking for DLLs in the precise location where they are expected ', 'Design: Sign system DLLs so that unauthorized DLLs can be detected. ']"
DLL Side-Loading,"['Prevent unknown DLLs from loading through using an allowlist policy. ', 'Patch installed applications as soon as new updates become available. ', 'Properly restrict the location of the software being used. ', 'Use of sxstrace.exe on Windows as well as manual inspection of the manifests. ', 'Require code signing and avoid using relative paths for resources. ']"
Evil Twin Wi-Fi Attack,"['Commercial defensive technology that monitors for rogue Wi-Fi access points, adversary-in-the-middle attacks, and anomalous activity with the mobile device baseband radios. ']"
Repo Jacking,"['Leverage dedicated package managers instead of directly linking to VCS repositories. ', 'Utilize version pinning and lock files to prevent use of maliciously modified repositories. ', 'Implement ""vendoring"" (i.e., including third-party dependencies locally) and leverage automated testing techniques (e.g., static analysis) to determine if the software behaves maliciously. ', 'Leverage automated tools, such as Checkmarx\'s ""ChainJacking"" tool, to determine susceptibility to Repo Jacking attacks. ']"
DNS Cache Poisoning,"['Configuration: Make sure your DNS servers have been updated to the latest versions ', 'Configuration: UNIX services like rlogin, rsh/rcp, xhost, and nfs are all susceptible to wrong information being held in a cache. Care should be taken with these services so they do not rely upon DNS caches that have been exposed to the Internet. ', 'Configuration: Disable client side DNS caching. ']"
Web Server Logs Tampering,"['Design: Use input validation before writing to web log ', 'Design: Validate all log data before it is output ']"
Log Injection-Tampering-Forging,"['Carefully control access to physical log files. ', 'Do not allow tainted data to be written in the log file without prior input validation. An allowlist may be used to properly validate the data. ', 'Use synchronization to control the flow of execution. ', 'Use static analysis tools to identify log forging vulnerabilities. ', 'Avoid viewing logs with tools that may interpret control characters in the file, such as command-line shells. ']"
Avoid Security Tool Identification by Adding Data,[]
Cause Web Server Misclassification,['Implementation: Server routines should be determined by content not determined by filename or file extension. ']
Adding a Space to a File Extension,['File extensions should be checked to see if non-visible characters are being included. ']
Windows ::DATA Alternate Data Stream,"['Design: Use FAT file systems which do not support Alternate Data Streams. ', 'Implementation: Use Vista dir with the -R switch or utility to find Alternate Data Streams and take appropriate action with those discovered. ', 'Implementation: Use products that are Alternate Data Stream aware for virus scanning and system security operations. ']"
Leverage Executable Code in Non-Executable Files,"['Design: Enforce principle of least privilege ', 'Design: Run server interfaces with a non-root account and/or utilize chroot jails or other configuration techniques to constrain privileges even if attacker gains some limited access to commands. ', 'Implementation: Perform testing such as pen-testing and vulnerability scanning to identify directories, programs, and interfaces that grant direct access to executables. ', 'Implementation: Implement host integrity monitoring to detect any unwanted altering of configuration files. ', 'Implementation: Ensure that files that are not required to execute, such as configuration files, are not over-privileged, i.e. not allowed to execute. ']"
ICMP Echo Request Ping,"['Consider configuring firewall rules to block ICMP Echo requests and prevent replies. If not practical, monitor and consider action when a system has fast and a repeated pattern of requests that move incrementally through port numbers. ']"
ICMP Address Mask Request,[]
Timestamp Request,[]
ICMP Information Request,[]
TCP ACK Ping,['Leverage stateful firewalls that allow for the rejection of a packet that is not part of an existing connection. ']
UDP Ping,['Configure your firewall to block egress ICMP messages. ']
TCP SYN Ping,[]
WiFi MAC Address Tracking,"['Automatic randomization of WiFi MAC addresses ', 'Frequent changing of handset and retransmission device ']"
WiFi SSID Tracking,"['Do not enable the feature of ""Hidden SSIDs"" (also known as ""Network Cloaking"") this option disables the usual broadcasting of the SSID by the access point, but forces the mobile handset to send requests on all supported radio channels which contains the SSID. The result is that tracking of the mobile device becomes easier since it is transmitting the SSID more frequently. ', 'Frequently change the SSID to new and unrelated values ']"
Cellular Broadcast Message Request,['Frequent changing of mobile number. ']
Signal Strength Tracking,[]
TCP SYN Scan,[]
TCP Connect Scan,['Employ a robust network defense posture that includes an IDS/IPS system. ']
TCP FIN Scan,"['FIN scans are detected via heuristic (non-signature) based algorithms, much in the same way as other scan types are detected. An IDS/IPS system with heuristic algorithms is required to detect them. ']"
TCP Xmas Scan,['Employ a robust network defensive posture that includes a managed IDS/IPS. ']
TCP Null Scan,['Employ a robust network defensive posture that includes a managed IDS/IPS. ']
TCP ACK Scan,[]
TCP Window Scan,[]
TCP RPC Scan,"['Typically, an IDS/IPS system is very effective against this type of attack. ']"
UDP Scan,"['Firewalls or ACLs which block egress ICMP error types effectively prevent UDP scans from returning any useful information. ', 'UDP scanning is complicated by rate limiting mechanisms governing ICMP error messages. ']"
Enumerate Mail Exchange (MX) Records,[]
DNS Zone Transfers,[]
Traceroute Route Enumeration,[]
Identify Shared Files/Directories on System,"['Identify unnecessary system utilities or potentially malicious software that may contain functionality to identify network share information, and audit and/or block them by using allowlist tools. ']"
Explore for Predictable Temporary File Names,[]
Security Software Footprinting,['Identify programs that may be used to acquire security tool information and block them by using a software restriction policy or tools that restrict program execution by using a process allowlist. ']
AJAX Footprinting,"['Design: Use browser technologies that do not allow client side scripting. ', 'Implementation: Perform input validation for all remote content. ']"
Flash File Overlay,[]
iFrame Overlay,"['Configuration: Disable iFrames in the Web browser. ', 'Operation: When maintaining an authenticated session with a privileged target system, do not use the same browser to navigate to unfamiliar sites to perform other activities. Finish working with the target system and logout first before proceeding to other tasks. ', 'Operation: If using the Firefox browser, use the NoScript plug-in that will help forbid iFrames. ']"
Cross Frame Scripting (XFS),"['Avoid clicking on untrusted links. ', 'Employ techniques such as frame busting, which is a method by which developers aim to prevent their site being loaded within a frame. ']"
Credential Prompt Impersonation,"['The only known mitigation to this attack is to avoid installing the malicious application on the device. However, to impersonate a running task the malicious application does need the GET_TASKS permission to be able to query the task list, and being suspicious of applications with that permission can help. ']"
PHP Local File Inclusion,[]
Inclusion of Code in Existing Process,"['Prevent unknown or malicious software from loading through using an allowlist policy. ', 'Properly restrict the location of the software being used. ', 'Leverage security kernel modules providing advanced access control and process restrictions like SELinux. ', 'Monitor API calls like CreateRemoteThread, SuspendThread/SetThreadContext/ResumeThread, QueueUserAPC, and similar for Windows. ', 'Monitor API calls like ptrace system call, use of LD_PRELOAD environment variable, dlfcn dynamic linking API calls, and similar for Linux. ', 'Monitor API calls like SetWindowsHookEx and SetWinEventHook which install hook procedures for Windows. ', 'Monitor processes and command-line arguments for unknown behavior related to code injection. ']"
Root/Jailbreak Detection Evasion via Hooking,"['Ensure mobile applications are signed appropriately to avoid code inclusion via hooking. ', ""Inspect the application's memory for suspicious artifacts, such as shared objects/JARs or dylibs, after other Root/Jailbreak detection methods. "", ""Inspect the application's stack trace for suspicious method calls. "", 'Allow legitimate native methods, and check for non-allowed native methods during Root/Jailbreak detection methods. ', ""For iOS applications, ensure application methods do not originate from outside of Apple's SDK. ""]"
Server Side Include (SSI) Injection,"['Set the OPTIONS IncludesNOEXEC in the global access.conf file or local .htaccess (Apache) file to deny SSI execution in directories that do not need them ', 'All user controllable input must be appropriately sanitized before use in the application. This includes omitting, or encoding, certain characters or strings that have the potential of being interpreted as part of an SSI directive ', 'Server Side Includes must be enabled only if there is a strong business reason to do so. Every additional component enabled on the web server increases the attack surface as well as administrative overhead ']"
PHP Remote File Inclusion,"['Implementation: Perform input validation for all remote content, including remote and user-generated content ', 'Implementation: Only allow known files to be included (allowlist) ', 'Implementation: Make use of indirect references passed in URL parameters instead of file names ', 'Configuration: Ensure that remote scripts cannot be include in the ""include"" or ""require"" PHP directives ']"
WebView Injection,['The only known mitigation to this type of attack is to keep the malicious application off the system. There is nothing that can be done to the target application to protect itself from a malicious application that has been installed and executed. ']
Modification of Registry Run Keys,['Identify programs that may be used to acquire process information and block them by using a software restriction policy or tools that restrict program execution by using a process allowlist. ']
Modification of Windows Service Configuration,['Ensure proper permissions are set for Registry hives to prevent users from modifying keys for system components that may lead to privilege escalation. ']
Poison Web Service Registry,"['Design: Enforce principle of least privilege ', 'Design: Harden registry server and file access permissions ', 'Implementation: Implement communications to and from the registry using secure protocols ']"
XML Schema Poisoning,"['Design: Protect the schema against unauthorized modification. ', 'Implementation: For applications that use a known schema, use a local copy or a known good repository instead of the schema reference supplied in the XML document. Additionally, ensure that the proper permissions are set on local files to avoid unauthorized modification. ', 'Implementation: For applications that leverage remote schemas, use the HTTPS protocol to prevent modification of traffic in transit and to avoid unauthorized modification. ']"
Malicious Automated Software Update via Redirection,[]
Malicious Manual Software Update,['Only accept software updates from an official source. ']
Rooting SIM Cards,['Upgrade the SIM card to use the state-of-the-art AES or the somewhat outdated 3DES algorithm for OTA. ']
Malicious Automated Software Update via Spoofing,[]
Reverse Engineer an Executable to Expose Assumed Hidden Functionality,[]
Read Sensitive Constants Within an Executable,[]
Lifting Sensitive Data Embedded in Cache,[]
Retrieve Embedded Sensitive Data,[]
Analysis of Packet Timing and Sizes,['Distort packet sizes and timing at VPN layer by adding padding to normalize packet sizes and timing delays to reduce information leakage via timing. ']
Electromagnetic Side-Channel Attack,"['Utilize side-channel resistant implementations of all crypto algorithms. ', 'Strong physical security of all devices that contain secret key information. (even when devices are not in use) ']"
Compromising Emanations Attack,['None are known. ']
Weakening of Cellular Encryption,"['Use of hardened baseband firmware on retransmission device to detect and prevent the use of weak cellular encryption. ', 'Monitor cellular RF interface to detect the usage of weaker-than-expected cellular encryption. ']"
IP ID Sequencing Probe,[]
IP 'ID' Echoed Byte-Order Probe,[]
IP (DF) 'Don't Fragment Bit' Echoing Probe,[]
TCP Timestamp Probe,[]
TCP Sequence Number Probe,[]
TCP (ISN) Greatest Common Divisor Probe,[]
TCP (ISN) Counter Rate Probe,[]
TCP (ISN) Sequence Predictability Probe,[]
TCP Congestion Control Flag (ECN) Probe,[]
TCP Initial Window Size Probe,[]
TCP Options Probe,[]
TCP 'RST' Flag Checksum Probe,[]
ICMP Error Message Quoting Probe,[]
ICMP Error Message Echoing Integrity Probe,[]
ICMP IP Total Length Field Probe,[]
ICMP IP 'ID' Field Error Message Probe,[]
Web Application Fingerprinting,"['Implementation: Obfuscate server fields of HTTP response. ', 'Implementation: Hide inner ordering of HTTP response header. ', 'Implementation: Customizing HTTP error codes such as 404 or 500. ', 'Implementation: Hide URL file extension. ', 'Implementation: Hide HTTP response header software information filed. ', ""Implementation: Hide cookie's software information filed. "", 'Implementation: Appropriately deal with error messages. ', ""Implementation: Obfuscate database type in Database API's error message. ""]"
Scanning for Vulnerable Software,[]
Browser Fingerprinting,['Configuration: Disable Java Script in the browser ']
DOM-Based XSS,"['Use browser technologies that do not allow client-side scripting. ', 'Utilize proper character encoding for all output produced within client-site scripts manipulating the DOM. ', 'Ensure that all user-supplied input is validated before use. ']"
XSS Targeting Non-Script Elements,"['In addition to the traditional input fields, all other user controllable inputs, such as image tags within messages or the likes, must also be subjected to input validation. Such validation should ensure that content that can be potentially interpreted as script by the browser is appropriately filtered. ', 'All output displayed to clients must be properly escaped. Escaping ensures that the browser interprets special scripting characters literally and not as script to be executed. ']"
XSS Targeting Error Pages,"['Design: Use libraries and templates that minimize unfiltered input. ', 'Implementation: Normalize, filter and use an allowlist for any input that will be used in error messages. ', 'Implementation: The victim should configure the browser to minimize active content from untrusted sources. ']"
XSS Using Alternate Syntax,"['Design: Use browser technologies that do not allow client side scripting. ', 'Design: Utilize strict type, character, and encoding enforcement ', 'Implementation: Ensure all content that is delivered to client is sanitized against an acceptable content specification. ', 'Implementation: Ensure all content coming from the client is using the same encoding; if not, the server-side application must canonicalize the data before applying any filtering. ', 'Implementation: Perform input validation for all remote content, including remote and user-generated content ', 'Implementation: Perform output validation for all remote content. ', 'Implementation: Disable scripting languages such as JavaScript in browser ', 'Implementation: Patching software. There are many attack vectors for XSS on the client side and the server side. Many vulnerabilities are fixed in service packs for browser, web servers, and plug in technologies, staying current on patch release that deal with XSS countermeasures mitigates this. ']"
XSS Targeting HTML Attributes,"['Design: Use libraries and templates that minimize unfiltered input. ', 'Implementation: Normalize, filter and use an allowlist for all input including that which is not expected to have any scripting content. ', 'Implementation: The victim should configure the browser to minimize active content from untrusted sources. ']"
XSS Targeting URI Placeholders,"['Design: Use browser technologies that do not allow client side scripting. ', 'Design: Utilize strict type, character, and encoding enforcement. ', 'Implementation: Ensure all content that is delivered to client is sanitized against an acceptable content specification. ', 'Implementation: Ensure all content coming from the client is using the same encoding; if not, the server-side application must canonicalize the data before applying any filtering. ', 'Implementation: Perform input validation for all remote content, including remote and user-generated content ', 'Implementation: Perform output validation for all remote content. ', 'Implementation: Disable scripting languages such as JavaScript in browser ', 'Implementation: Patching software. There are many attack vectors for XSS on the client side and the server side. Many vulnerabilities are fixed in service packs for browser, web servers, and plug in technologies, staying current on patch release that deal with XSS countermeasures mitigates this. ']"
XSS Using Doubled Characters,"['Design: Use libraries and templates that minimize unfiltered input. ', 'Implementation: Normalize, filter and sanitize all user supplied fields. ', 'Implementation: The victim should configure the browser to minimize active content from untrusted sources. ']"
XSS Using Invalid Characters,"['Design: Use libraries and templates that minimize unfiltered input. ', 'Implementation: Normalize, filter and use an allowlist for any input that will be included in any subsequent web pages or back end operations. ', 'Implementation: The victim should configure the browser to minimize active content from untrusted sources. ']"
XSS Through HTTP Query Strings,"['Design: Use browser technologies that do not allow client side scripting. ', 'Design: Utilize strict type, character, and encoding enforcement ', ""Design: Server side developers should not proxy content via XHR or other means, if a http proxy for remote content is setup on the server side, the client's browser has no way of discerning where the data is originating from. "", 'Implementation: Ensure all content that is delivered to client is sanitized against an acceptable content specification. ', 'Implementation: Perform input validation for all remote content, including remote and user-generated content ', 'Implementation: Perform output validation for all remote content. ', 'Implementation: Disable scripting languages such as JavaScript in browser ', 'Implementation: Session tokens for specific host ', 'Implementation: Patching software. There are many attack vectors for XSS on the client side and the server side. Many vulnerabilities are fixed in service packs for browser, web servers, and plug in technologies, staying current on patch release that deal with XSS countermeasures mitigates this. ', 'Implementation: Privileges are constrained, if a script is loaded, ensure system runs in chroot jail or other limited authority mode ']"
XSS Through HTTP Headers,"['Design: Use browser technologies that do not allow client side scripting. ', 'Design: Utilize strict type, character, and encoding enforcement ', ""Design: Server side developers should not proxy content via XHR or other means, if a http proxy for remote content is setup on the server side, the client's browser has no way of discerning where the data is originating from. "", 'Implementation: Ensure all content that is delivered to client is sanitized against an acceptable content specification. ', 'Implementation: Perform input validation for all remote content. ', 'Implementation: Perform output validation for all remote content. ', 'Implementation: Disable scripting languages such as JavaScript in browser ', 'Implementation: Session tokens for specific host ', 'Implementation: Patching software. There are many attack vectors for XSS on the client side and the server side. Many vulnerabilities are fixed in service packs for browser, web servers, and plug in technologies, staying current on patch release that deal with XSS countermeasures mitigates this. ']"
Reflected XSS,"['Use browser technologies that do not allow client-side scripting. ', 'Utilize strict type, character, and encoding enforcement. ', 'Ensure that all user-supplied input is validated before use. ']"
XSS Targeting Non-Script Elements,"['In addition to the traditional input fields, all other user controllable inputs, such as image tags within messages or the likes, must also be subjected to input validation. Such validation should ensure that content that can be potentially interpreted as script by the browser is appropriately filtered. ', 'All output displayed to clients must be properly escaped. Escaping ensures that the browser interprets special scripting characters literally and not as script to be executed. ']"
XSS Targeting Error Pages,"['Design: Use libraries and templates that minimize unfiltered input. ', 'Implementation: Normalize, filter and use an allowlist for any input that will be used in error messages. ', 'Implementation: The victim should configure the browser to minimize active content from untrusted sources. ']"
XSS Using Alternate Syntax,"['Design: Use browser technologies that do not allow client side scripting. ', 'Design: Utilize strict type, character, and encoding enforcement ', 'Implementation: Ensure all content that is delivered to client is sanitized against an acceptable content specification. ', 'Implementation: Ensure all content coming from the client is using the same encoding; if not, the server-side application must canonicalize the data before applying any filtering. ', 'Implementation: Perform input validation for all remote content, including remote and user-generated content ', 'Implementation: Perform output validation for all remote content. ', 'Implementation: Disable scripting languages such as JavaScript in browser ', 'Implementation: Patching software. There are many attack vectors for XSS on the client side and the server side. Many vulnerabilities are fixed in service packs for browser, web servers, and plug in technologies, staying current on patch release that deal with XSS countermeasures mitigates this. ']"
XSS Targeting HTML Attributes,"['Design: Use libraries and templates that minimize unfiltered input. ', 'Implementation: Normalize, filter and use an allowlist for all input including that which is not expected to have any scripting content. ', 'Implementation: The victim should configure the browser to minimize active content from untrusted sources. ']"
XSS Targeting URI Placeholders,"['Design: Use browser technologies that do not allow client side scripting. ', 'Design: Utilize strict type, character, and encoding enforcement. ', 'Implementation: Ensure all content that is delivered to client is sanitized against an acceptable content specification. ', 'Implementation: Ensure all content coming from the client is using the same encoding; if not, the server-side application must canonicalize the data before applying any filtering. ', 'Implementation: Perform input validation for all remote content, including remote and user-generated content ', 'Implementation: Perform output validation for all remote content. ', 'Implementation: Disable scripting languages such as JavaScript in browser ', 'Implementation: Patching software. There are many attack vectors for XSS on the client side and the server side. Many vulnerabilities are fixed in service packs for browser, web servers, and plug in technologies, staying current on patch release that deal with XSS countermeasures mitigates this. ']"
XSS Using Doubled Characters,"['Design: Use libraries and templates that minimize unfiltered input. ', 'Implementation: Normalize, filter and sanitize all user supplied fields. ', 'Implementation: The victim should configure the browser to minimize active content from untrusted sources. ']"
XSS Using Invalid Characters,"['Design: Use libraries and templates that minimize unfiltered input. ', 'Implementation: Normalize, filter and use an allowlist for any input that will be included in any subsequent web pages or back end operations. ', 'Implementation: The victim should configure the browser to minimize active content from untrusted sources. ']"
XSS Through HTTP Query Strings,"['Design: Use browser technologies that do not allow client side scripting. ', 'Design: Utilize strict type, character, and encoding enforcement ', ""Design: Server side developers should not proxy content via XHR or other means, if a http proxy for remote content is setup on the server side, the client's browser has no way of discerning where the data is originating from. "", 'Implementation: Ensure all content that is delivered to client is sanitized against an acceptable content specification. ', 'Implementation: Perform input validation for all remote content, including remote and user-generated content ', 'Implementation: Perform output validation for all remote content. ', 'Implementation: Disable scripting languages such as JavaScript in browser ', 'Implementation: Session tokens for specific host ', 'Implementation: Patching software. There are many attack vectors for XSS on the client side and the server side. Many vulnerabilities are fixed in service packs for browser, web servers, and plug in technologies, staying current on patch release that deal with XSS countermeasures mitigates this. ', 'Implementation: Privileges are constrained, if a script is loaded, ensure system runs in chroot jail or other limited authority mode ']"
XSS Through HTTP Headers,"['Design: Use browser technologies that do not allow client side scripting. ', 'Design: Utilize strict type, character, and encoding enforcement ', ""Design: Server side developers should not proxy content via XHR or other means, if a http proxy for remote content is setup on the server side, the client's browser has no way of discerning where the data is originating from. "", 'Implementation: Ensure all content that is delivered to client is sanitized against an acceptable content specification. ', 'Implementation: Perform input validation for all remote content. ', 'Implementation: Perform output validation for all remote content. ', 'Implementation: Disable scripting languages such as JavaScript in browser ', 'Implementation: Session tokens for specific host ', 'Implementation: Patching software. There are many attack vectors for XSS on the client side and the server side. Many vulnerabilities are fixed in service packs for browser, web servers, and plug in technologies, staying current on patch release that deal with XSS countermeasures mitigates this. ']"
Stored XSS,"['Use browser technologies that do not allow client-side scripting. ', 'Utilize strict type, character, and encoding enforcement. ', 'Ensure that all user-supplied input is validated before being stored. ']"
XSS Using MIME Type Mismatch,[]
DTD Injection,"['Design: Sanitize incoming DTDs to prevent excessive expansion or other actions that could result in impacts like resource depletion. ', 'Implementation: Disallow the inclusion of DTDs as part of incoming messages. ', 'Implementation: Use XML parsing tools that protect against DTD attacks. ']"
XPath Injection,"[""Strong input validation - All user-controllable input must be validated and filtered for illegal characters as well as content that can be interpreted in the context of an XPath expression. Characters such as a single-quote(') or operators such as or (|), and (&amp;) and such should be filtered if the application does not expect them in the context in which they appear. If such content cannot be filtered, it must at least be properly escaped to avoid them being interpreted as part of XPath expressions. "", 'Use of parameterized XPath queries - Parameterization causes the input to be restricted to certain domains, such as strings or integers, and any input outside such domains is considered invalid and the query fails. ', 'Use of custom error pages - Attackers can glean information about the nature of queries from descriptive error messages. Input validation must be coupled with customized error pages that inform about an error without disclosing information about the database or application. ']"
XQuery Injection,"['Design: Perform input allowlist validation on all XML input ', 'Implementation: Run xml parsing and query infrastructure with minimal privileges so that an attacker is limited in their ability to probe other system resources from XQL. ']"
Command Line Execution through SQL Injection,"['Disable MSSQL xp_cmdshell directive on the database ', 'Properly validate the data (syntactically and semantically) before writing it to the database. ', 'Do not implicitly trust the data stored in the database. Re-validate it prior to usage to make sure that it is safe to use in a given context (e.g. as a command line argument). ']"
Object Relational Mapping Injection,"['Remember to understand how to use the data access methods generated by the ORM tool / framework properly in a way that would leverage the built-in security mechanisms of the framework ', 'Ensure to keep up to date with security relevant updates to the persistence framework used within your application. ']"
SQL Injection through SOAP Parameter Tampering,"['Properly validate and sanitize/reject user input at the service provider. ', ""Ensure that prepared statements or other mechanism that enables parameter binding is used when accessing the database in a way that would prevent the attackers' supplied data from controlling the structure of the executed query. "", 'At the database level, ensure that the database user used by the application in a particular context has the minimum needed privileges to the database that are needed to perform the operation. When possible, run queries against pre-generated views rather than the tables directly. ']"
Expanding Control over the Operating System from the Database,"['Design: Follow the defensive programming practices needed to protect an application accessing the database from SQL injection ', 'Configuration: Ensure that the DBMS is patched with the latest security patches ', 'Design: Ensure that the DBMS login used by the application has the lowest possible level of privileges in the DBMS ', 'Design: Ensure that DBMS runs with the lowest possible level of privileges on the host machine and that it runs as a separate user ', 'Usage: Do not use the DBMS machine for anything else other than the database ', 'Usage: Do not place any trust in the database host on the internal network. Authenticate and validate all network activity originating from the database host. ', 'Usage: Use an intrusion detection system to monitor network connections and logs on the database host. ', 'Implementation: Remove / disable all unneeded / unused functions of the DBMS system that may allow an attacker to elevate privileges if compromised ']"
Blind SQL Injection,"['Security by Obscurity is not a solution to preventing SQL Injection. Rather than suppress error messages and exceptions, the application must handle them gracefully, returning either a custom error page or redirecting the user to a default page, without revealing any information about the database or the application internals. ', ""Strong input validation - All user-controllable input must be validated and filtered for illegal characters as well as SQL content. Keywords such as UNION, SELECT or INSERT must be filtered in addition to characters such as a single-quote(') or SQL-comments (--) based on the context in which they appear. ""]"
HTTP Request Splitting,"['Design: evaluate HTTP agents prior to deployment for parsing/interpretation discrepancies. ', 'Configuration: front-end HTTP agents notice ambiguous requests. ', 'Configuration: back-end HTTP agents reject ambiguous requests and close the network connection. ', 'Configuration: Disable reuse of back-end connections. ', 'Configuration: Use HTTP/2 for back-end connections. ', 'Configuration: Use the same web server software for front-end and back-end server. ', 'Implementation: Utilize a Web Application Firewall (WAF) that has built-in mitigation to detect abnormal requests/responses. ', 'Configuration: Install latest vendor security patches available for both intermediary and back-end HTTP infrastructure (i.e. proxies and web servers) ', 'Configuration: Ensure that HTTP infrastructure in the chain or network path utilize a strict uniform parsing process. ', 'Implementation: Utilize intermediary HTTP infrastructure capable of filtering and/or sanitizing user-input. ']"
